country,year,result,result_change,,result_rescaled,result_rescaled_change
Afghanistan ,2015,52.22451375,0,,9.69539674,0
Afghanistan ,2016,51.41051169,0.81400206,,9.457233996,0.238162744
Afghanistan ,2017,51.8857013,-0.47518961,,9.596266152,-0.139032156
Afghanistan ,2018,51.94647481,-0.06077351,,9.614047416,-0.017781264
Albania ,2015,27.32295813,0,,2.409637773,0
Albania ,2016,27.17541473,0.1475434,,2.366469159,0.043168614
Albania ,2017,26.54725099,0.62816374,,2.182679453,0.183789707
Albania ,2018,26.31159379,0.2356572,,2.113730284,0.068949169
Algeria ,2015,31.51137685,0,,3.635095721,0
Algeria ,2016,33.21874847,-1.70737162,,4.134642749,-0.499547027
Algeria ,2017,33.78450391,-0.56575544,,4.30017288,-0.165530131
Algeria ,2018,34.2571794,-0.47267549,,4.438469448,-0.138296568
Angola ,2015,33.70300617,0,,4.276328069,0
Angola ,2016,28.28474022,5.41826595,,2.691038365,1.585289704
Angola ,2017,35.07434276,-6.78960254,,4.677557133,-1.986518768
Angola ,2018,29.09174455,5.98259821,,2.927153696,1.750403437
Argentina ,2015,35.41735453,0,,4.777916368,0
Argentina ,2016,34.74663787,0.67071666,,4.581676423,0.196239946
Argentina ,2017,34.03516267,0.7114752,,4.373511242,0.20816518
Argentina ,2018,34.44970838,-0.41454571,,4.494800055,-0.121288813
Armenia ,2015,20.21380419,0,,0.329623864,0
Armenia ,2016,20.43314609,-0.2193419,,0.393799462,-0.064175598
Armenia ,2017,20.17619078,0.25695531,,0.318618839,0.075180623
Armenia ,2018,19.90877509,0.26741569,,0.240377693,0.078241146
Australia ,2015,35.937179,0,,4.930007902,0
Australia ,2016,35.91298913,0.02418987,,4.92293037,0.007077532
Australia ,2017,36.19646926,-0.28348013,,5.00587169,-0.08294132
Australia ,2018,36.27148179,-0.07501253,,5.027819042,-0.021947352
Azerbaijan ,2015,28.31491399,0,,2.699866682,0
Azerbaijan ,2016,28.15011954,0.16479445,,2.651650712,0.048215969
Azerbaijan ,2017,27.64462858,0.50549096,,2.503752912,0.1478978
Azerbaijan ,2018,22.51027796,5.13435062,,1.001531861,1.502221051
Bahrain ,2015,20.33823557,0,,0.366030306,0
Bahrain ,2016,20.24621921,0.09201636,,0.339107931,0.026922375
Bahrain ,2017,20.61597546,-0.36975625,,0.447292133,-0.108184202
Bahrain ,2018,21.23449364,-0.61851818,,0.628259717,-0.180967585
Bangladesh ,2015,36.2416067,0,,5.019078114,0
Bangladesh ,2016,40.72643679,-4.48483009,,6.331260837,-1.312182722
Bangladesh ,2017,40.31976416,0.40667263,,6.212275549,0.118985288
Bangladesh ,2018,35.70118808,4.61857608,,4.860961093,1.351314456
Belarus ,2015,20.16540981,0,,0.315464516,0
Belarus ,2016,20.62264778,-0.45723797,,0.449244336,-0.13377982
Belarus ,2017,20.24166739,0.38098039,,0.337776148,0.111468188
Belarus ,2018,20.11901084,0.12265655,,0.30188899,0.035887158
