designation,discovery_date,h_mag,i_deg,moid_au,orbit_class,period_yr,pha,q_au_1,q_au_2
419880 (2011 AH37),2011-01-07T00:00:00.000,19.7,9.65,0.035,Apollo,4.06,Y,0.84,4.26
419624 (2010 SO16),2010-09-17T00:00:00.000,20.5,14.52,0.028,Apollo,1,Y,0.93,1.08
414772 (2010 OC103),2010-07-28T00:00:00.000,19,23.11,0.333,Apollo,1.31,N,0.39,2
414746 (2010 EH20),2010-03-06T00:00:00.000,18,23.89,0.268,Amor,4.24,N,1.25,3.99
407324 (2010 OB101),2010-07-18T00:00:00.000,20.7,9.12,0.111,Apollo,2.06,N,0.77,2.46
398188 (2010 LE15),2010-06-03T00:00:00.000,19.5,13.25,0.024,Aten,0.8,Y,0.63,1.1
395207 (2010 HQ80),2010-04-25T00:00:00.000,19.6,27.85,0.007,Apollo,1.96,Y,0.8,2.34
386847 (2010 LR33),2010-06-06T00:00:00.000,18,5.84,0.029,Apollo,2.2,Y,0.91,2.48
381989 (2010 HR80),2010-04-28T00:00:00.000,19.9,26.71,0.104,Apollo,1.56,N,0.68,2.02
369454 (2010 NZ1),2010-07-09T00:00:00.000,19.4,32.78,0.275,Apollo,1.61,N,0.49,2.26
365449 (2010 NJ1),2010-07-03T00:00:00.000,20.3,11.23,0.155,Aten,0.95,N,0.44,1.49
365424 (2010 KX7),2010-05-16T00:00:00.000,21.9,21.49,0.034,Aten,0.98,Y,0.82,1.16
356394 (2010 QD2),2010-08-21T00:00:00.000,17.4,10.64,0.061,Apollo,2.85,N,0.43,3.59
(2015 HF11),2015-04-17T00:00:00.000,19.2,34.89,0.225,Amor,2.99,N,1.22,2.93
(2015 GK50),2015-04-05T00:00:00.000,20.5,19.07,0.237,Amor,5.39,N,1.03,5.12
(2015 GJ46),2015-04-11T00:00:00.000,19.3,18.22,0.238,Apollo,4.85,N,0.67,5.06
(2015 FT344),2015-03-23T00:00:00.000,20.5,12.55,0.203,Amor,4.07,N,1.09,4.01
(2015 FD341),2015-03-27T00:00:00.000,18,20.55,0.124,Aten,0.93,N,0.31,1.6
(2015 FU332),2015-03-31T00:00:00.000,17.3,36.11,0.269,Apollo,4.27,N,0.67,4.59
(2015 FE120),2015-03-23T00:00:00.000,21.1,22.8,0.013,Apollo,3.38,Y,1.01,3.49
